,song,song_id,duration,popularity,artist,artist_id,song_id_f,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,0,1,2,3,4,5,6
205,More Than You Know,4q8PHoRsPUB52LFylX8Ulz,203000,30,['Axwell /\\ Ingrosso'],['2XnBwblw31dfGnspMIwgWz'],7IFM9DRj4gO5elUp0x68DD,0.00385,0.602,0.743,0.375,0.258,-9.742,0.0359,120.014,0.404,Axwell /\ Ingrosso,,,,,,
206,Dalida,7IFM9DRj4gO5elUp0x68DD,349093,30,['Kamp!'],['336h2dtQrcQycozDnwH9GC'],32gqin2oytgFkGRokiZWwN,4.76e-05,0.81,0.742,0.889,0.0689,-8.316,0.0865,123.035,0.648,Kamp!,,,,,,
207,Jogo - Original Mix,32gqin2oytgFkGRokiZWwN,440000,18,"['Joeski', 'Gorge']","['3OsEdeMsQIAdDi2OduzED7', '6Y3FCZA50anf3ukg9O7ZLq']",3D8IH4A4xOuhzNLtHwa2Kc,0.000988,0.834,0.651,0.901,0.124,-9.999,0.117,124.985,0.201,Joeski,Gorge,,,,,
208,Vulcano,3D8IH4A4xOuhzNLtHwa2Kc,423933,19,['Undercatt'],['5HRGFSrlJruRPZNPbsy57r'],5hBYV67ly8GxBMwF9CrGS0,0.00219,0.625,0.661,0.878,0.101,-10.004,0.039,124.995,0.254,Undercatt,,,,,,
209,Wastelands,5hBYV67ly8GxBMwF9CrGS0,473484,9,['Oliver Winters'],['79YtVyEljwncTmm9Cl2X2i'],5tw1yPn7uSWvGy7NfNp4LQ,0.207,0.733,0.667,0.94,0.0626,-14.256,0.053,122.986,0.0382,Oliver Winters,,,,,,
210,SYSYGY,5tw1yPn7uSWvGy7NfNp4LQ,436860,13,['GHEIST'],['60pOigPjgmU7AzmZmWEQZU'],7wyymXHQzxRO4b99aJWwQS,0.00151,0.676,0.462,0.859,0.113,-12.539,0.0396,126.004,0.118,GHEIST,,,,,,
211,The Light - Patrice Bäumel Remix,7wyymXHQzxRO4b99aJWwQS,404500,18,"['Circle Sky', 'Patrice Bäumel']","['4UKyPkZDy7SzgPOV3d7miP', '5OvpF1A65DXs93M9NfPIjT']",17QdgSTwce8aPoDOn6D7HO,0.0715,0.848,0.654,0.879,0.082,-12.315,0.11,124.0,0.218,Circle Sky,Patrice Bäumel,,,,,
212,Enter Galactic,17QdgSTwce8aPoDOn6D7HO,488516,13,['Raxon'],['6gp9WP1OleU89x2gF9w2ID'],2p6Ml3eGXmsDt4NRdsTyyo,0.00118,0.65,0.723,0.718,0.102,-10.072,0.0434,126.025,0.102,Raxon,,,,,,
213,Cyclone,2p6Ml3eGXmsDt4NRdsTyyo,436190,24,"['Konstantin Sibold', 'Kosme']","['5Ls75umF4lBOQVp3pJAlbW', '09XPEOkiLg6nRwolfltWtR']",3HFFBfoTdd0TOlvMgq3Lzc,0.0512,0.819,0.957,0.83,0.0738,-6.95,0.0511,122.009,0.542,Konstantin Sibold,Kosme,,,,,
214,Kuar - FNX Omar Remix,3HFFBfoTdd0TOlvMgq3Lzc,400321,30,"['Emmanuel Jal', 'FNX OMAR']","['2yWskGGwMOlBGeIAVgfsgm', '3dcqf190oFqc5FQNI05mVW']",1tGlgDP5VnMmUhHAFtNXJt,0.0132,0.648,0.889,0.768,0.126,-8.225,0.0349,124.003,0.166,Emmanuel Jal,FNX OMAR,,,,,
215,Radiate,1tGlgDP5VnMmUhHAFtNXJt,295038,45,['Yotto'],['5Dyfxq0ZrFjjeFBdSNxDbo'],2D8cVlB1DJc9fc7qoHr5hz,0.00254,0.807,0.508,0.928,0.0759,-12.002,0.0739,126.027,0.0371,Yotto,,,,,,
216,Manie,2D8cVlB1DJc9fc7qoHr5hz,397588,17,['Julian Wassermann'],['6QXqARXg4hZ3oAUitm2gU0'],1wWn0BeuZJ19LGcHuy6AaT,0.000201,0.804,0.793,0.898,0.106,-8.13,0.0567,124.01,0.264,Julian Wassermann,,,,,,
217,Labyrinth,1wWn0BeuZJ19LGcHuy6AaT,390606,24,['Moonwalk'],['1khyIydqanugacJyKdmceT'],0FO09rQ0ACkUlLRT7jWFQF,0.0077,0.64,0.69,0.849,0.0841,-9.718,0.0528,124.996,0.0465,Moonwalk,,,,,,
218,Cafe Del Mar (Tale Of Us Renaissance Remix),0FO09rQ0ACkUlLRT7jWFQF,515760,50,['Energy 52'],['0sElgscu7tp38PM1MtsUz7'],0DIG2ir7JwNqSSSU6cC793,0.0178,0.587,0.822,0.839,0.135,-8.996,0.0329,121.987,0.201,Energy 52,,,,,,
219,Notte,0DIG2ir7JwNqSSSU6cC793,458445,28,"['Marvin & Guy', 'Allo']","['6mUe67fPenWJZXz5JalmjF', '6qlOMmnFCV4edRFCkuH5Wt']",3v5OEiexyfyyBAtYKduRCm,0.178,0.705,0.911,0.799,0.0831,-8.848,0.0561,124.001,0.273,Marvin & Guy,Allo,,,,,
220,Chimera,3v5OEiexyfyyBAtYKduRCm,440896,8,['Lunar Plane'],['7wWAqQCAlSqAcRRYCKoIfy'],5ZRbJLxivPDpPTyCJtmNIh,0.0094,0.799,0.201,0.916,0.112,-9.473,0.0724,122.994,0.04,Lunar Plane,,,,,,
221,Onuris,5ZRbJLxivPDpPTyCJtmNIh,460487,5,['Juan Elvadin'],['6HieW9hwQClrvr5bKvw0lo'],3eaaKD6mo4tCDraOKLNA98,0.00053,0.708,0.606,0.795,0.121,-11.356,0.0419,123.016,0.0379,Juan Elvadin,,,,,,
222,Dc 18,3eaaKD6mo4tCDraOKLNA98,431219,22,['D-Formation'],['5wt6ykFuNy0WtBpYVaG7OY'],33Gb7lYFbgMBQw6xxJiISm,0.00023,0.792,0.711,0.866,0.0987,-9.435,0.0514,123.004,0.247,D-Formation,,,,,,
223,The Seed - Stan Kolev & Matan Caspi Remix,33Gb7lYFbgMBQw6xxJiISm,445121,16,"['D-Nox', 'K.A.L.I.L.', 'Stan Kolev', 'Matan Caspi']","['1TqcQwnBqloJrKkGs4l4LT', '6im40CIcqEb9GVJ7Mg4nbT', '6MzHMxgYcbj6ue5w9pbNp9', '0vgVqK5WmUVzi4lozaSKWd']",29WPdtHqGZAp6M4Sx2VpHd,0.0124,0.708,0.798,0.923,0.0804,-5.778,0.0678,124.061,0.507,D-Nox,K.A.L.I.L.,Stan Kolev,Matan Caspi,,,
224,Earlylate,29WPdtHqGZAp6M4Sx2VpHd,341984,14,['The Micronaut'],['5BNKzWZCbIsQz9zAsg9n6V'],1OWKp2D8NpYryRgKRjitp5,0.00863,0.778,0.633,0.693,0.154,-7.29,0.0444,124.009,0.285,The Micronaut,,,,,,
225,Sweet Disposition - Undercatt Remix,1OWKp2D8NpYryRgKRjitp5,455064,37,"['The Temper Trap', 'Undercatt']","['4W48hZAnAHVOC2c8WH8pcq', '5HRGFSrlJruRPZNPbsy57r']",3Uy9hHXWmpFX1s0KCVcTE0,0.00308,0.726,0.67,0.929,0.0781,-6.706,0.0534,124.005,0.391,The Temper Trap,Undercatt,,,,,
226,Gratitude,3Uy9hHXWmpFX1s0KCVcTE0,421935,6,"['Bruce Leroys', 'Alexandros Djkevingr', 'Greg Ignatovich']","['46j0ccuaEWbkqNNsbEHCJT', '0wqnagjZ4XRX3BANl2Rnqz', '5vBiwq3H7HDX5m9pdItMks']",1hELDrrLSDXrYK9Tl9xrzt,0.0338,0.92,0.609,0.857,0.106,-6.377,0.197,126.999,0.286,Bruce Leroys,Alexandros Djkevingr,Greg Ignatovich,,,,
227,Smoke Monk - VONDA7 6am Flight Remix,1hELDrrLSDXrYK9Tl9xrzt,408292,17,"['Sasha', 'VONDA7']","['6u4jLGLPuarS3i2XWHVxoS', '0Glk45UpQ9Tz1yp6GvhUBM']",5fByVmW7IsFnYUr7FctOmW,0.000247,0.766,0.5,0.825,0.264,-9.644,0.0519,121.023,0.0375,Sasha,VONDA7,,,,,
228,The End to My Beginning,5fByVmW7IsFnYUr7FctOmW,515664,22,['Dubfire'],['3bVYqr2NfmwmL4YJisWhJI'],2XtSWi47Xhr97w5sWtElNC,0.00391,0.733,0.695,0.884,0.0725,-9.681,0.0409,123.986,0.523,Dubfire,,,,,,
229,Uluwatu,2XtSWi47Xhr97w5sWtElNC,224516,9,['Althoff'],['7MDP7dmk5KkD80FwYI6Una'],3jsy6FKAc0it5aazrXE65p,0.00352,0.635,0.929,0.839,0.0746,-5.95,0.0496,129.986,0.293,Althoff,,,,,,
230,Closure,3jsy6FKAc0it5aazrXE65p,443076,8,['Adison'],['4f5a2GPR8G2TAKEb7IOOfl'],13ewF4sqiomPMCBeO5zHRF,0.0221,0.751,0.705,0.799,0.0676,-9.444,0.11,122.998,0.287,Adison,,,,,,
231,Rising,13ewF4sqiomPMCBeO5zHRF,386159,40,['Jiggler'],['36N6pddt92f5CEbbbNGqAE'],28MustrkeetS4sdar9Z345,0.00692,0.785,0.879,0.753,0.0576,-8.69,0.0389,122.006,0.0694,Jiggler,,,,,,
232,Subati - Andhim's Electrica Cucar Remix,28MustrkeetS4sdar9Z345,421967,37,"['Oliver Koletzki', 'Niko Schwind', 'Andhim']","['1WjBIvYAnZTkTh5UiZNwlR', '4jPpDbD1ERO3zjBon97ECM', '6XJeFzmI6vrWyHcdB7EImP']",6vkFCzPmJ3beYG0zeevdmX,0.0115,0.659,0.752,0.00256,0.128,-6.239,0.0312,124.016,0.248,Oliver Koletzki,Niko Schwind,Andhim,,,,
233,Eyes,6vkFCzPmJ3beYG0zeevdmX,230533,57,['RÜFÜS DU SOL'],['5Pb27ujIyYb33zBqVysBkj'],3m2u3vRPwArpsIErD1snYn,0.00158,0.665,0.763,0.803,0.102,-9.839,0.0403,121.012,0.292,RÜFÜS DU SOL,,,,,,
234,Analog Suite II,3m2u3vRPwArpsIErD1snYn,389302,17,['Toto Chiavetta'],['0DBwNrdGSluzJl24pHRiOk'],1yiHurhPM1C6ZDbXHGdwwB,0.000951,0.729,0.597,0.922,0.0491,-11.128,0.0467,126.009,0.0639,Toto Chiavetta,,,,,,
235,Rosebud,1yiHurhPM1C6ZDbXHGdwwB,433125,41,['Booka Shade'],['2CKaDZ1Yo8YnWega9IeUzB'],34JXz1bc5piSreSSG1kvRQ,0.0417,0.758,0.415,0.895,0.104,-10.574,0.0487,119.998,0.0925,Booka Shade,,,,,,
236,Abendpfauenauge,34JXz1bc5piSreSSG1kvRQ,570899,36,['Dominik Eulberg'],['44zcDDVZOY0ck7KECNUPK1'],2lymrfF97cT3n86KVFUcLx,0.0412,0.63,0.831,0.829,0.387,-12.092,0.0403,127.001,0.0414,Dominik Eulberg,,,,,,
237,Cosmic Frequencies,2lymrfF97cT3n86KVFUcLx,405136,29,['Agents Of Time'],['6Jbyd4qzEtbFtswZP1o6Ht'],4grSCKzUQcypbNq26xQFGS,0.000163,0.783,0.957,0.843,0.316,-5.993,0.0385,126.023,0.432,Agents Of Time,,,,,,
238,Finder - Carl Cox Remix Edit,4grSCKzUQcypbNq26xQFGS,206492,48,"['Ninetoes', 'Carl Cox']","['5MP4PiGA5PNFrsVjtauFnC', '19SmlbABtI4bXz864MLqOS']",7nkQKkwybFY2zPdHF9xWxR,0.0587,0.599,0.666,0.888,0.118,-13.517,0.0396,119.999,0.0683,Ninetoes,Carl Cox,,,,,
239,Muyè - Black Coffee Remix,7nkQKkwybFY2zPdHF9xWxR,581403,52,"['Rampa', '&ME', 'Adam Port', 'Black Coffee']","['08jywfUS0hp8XYlYs0cvz8', '5mIowAJMp7RKNheelruV5z', '2loEsOijJ6XiGzWYFXMIRk', '6wMr4zKPrrR0UVz08WtUWc']",3Rml2U4QEBZnGnVI39mAvN,0.00326,0.658,0.76,0.82,0.111,-13.05,0.0608,120.995,0.363,Rampa,&ME,Adam Port,Black Coffee,,,
240,Sunset - Andre Lodemann & Fabian Dikof Remix,3Rml2U4QEBZnGnVI39mAvN,462389,10,"['Compuphonic', 'Marques Toliver', 'Andre Lodemann', 'Fabian Dikof']","['7GZ8Tz3F5bLPTJYNSwiunY', '5zrD2ZqM6SB5XRJJwTroAu', '1Em6QNi57qzKBsy0r4ZPXN', '2HYXwbRVKNOKloC8p0F3qN']",1EAqHDL90jADWkWtZKmRhs,0.00266,0.79,0.673,0.908,0.111,-9.951,0.054,124.992,0.138,Compuphonic,Marques Toliver,Andre Lodemann,Fabian Dikof,,,
241,Antares,1EAqHDL90jADWkWtZKmRhs,407040,8,['Black Odyssey'],['0wfd8tvLXYb91azSMD5VXI'],1CxV108xlZ9ImGnJsiwy14,0.183,0.687,0.674,0.267,0.161,-8.415,0.0352,122.01,0.0395,Black Odyssey,,,,,,
242,Innerbloom,1CxV108xlZ9ImGnJsiwy14,578040,30,['RÜFÜS DU SOL'],['5Pb27ujIyYb33zBqVysBkj'],6VFEox1EQFA7m9jb0TFmcE,0.00686,0.696,0.73,0.795,0.595,-9.755,0.0371,124.005,0.542,RÜFÜS DU SOL,,,,,,
243,Glades Of Glory - Original Mix,6VFEox1EQFA7m9jb0TFmcE,541935,20,['Jonas Rathsman'],['0evBopfnhhbHzmHebWTDx7'],3VwUw2BsgZ9D1U3uti1oRt,0.0122,0.66,0.673,0.863,0.119,-12.146,0.0443,125.001,0.0352,Jonas Rathsman,,,,,,
244,Monument - Stephan Bodzin Remix,3VwUw2BsgZ9D1U3uti1oRt,452920,36,"['Tale Of Us', 'Vaal', 'Stephan Bodzin']","['1UL813H5aj3e8ekE5RqWqc', '71Og13tJyEC23Eom0pb0BP', '2nq2BeSbzExGAv3Y4HgUf7']",0TlxNCDsQZaTA2SwUDgBAg,0.000253,0.886,0.509,0.154,0.0977,-13.229,0.168,125.062,0.261,Tale Of Us,Vaal,Stephan Bodzin,,,,
245,Devil,0TlxNCDsQZaTA2SwUDgBAg,566400,48,['Boris Brejcha'],['6caPJFLv1wesmM7gwK1ACy'],7IvPOMME3e7WQId36Wn5DK,0.00287,0.791,0.761,0.876,0.0967,-10.046,0.0543,119.998,0.527,Boris Brejcha,,,,,,
246,Alvear,7IvPOMME3e7WQId36Wn5DK,529440,3,['Ricardo Tobar'],['5aluWpnmEPLnzbQs691RJM'],3TuBxZ97Az42yTGamrFCAB,0.0068,0.801,0.793,0.858,0.086,-10.731,0.0555,122.996,0.514,Ricardo Tobar,,,,,,
247,Who is Themba?,3TuBxZ97Az42yTGamrFCAB,408288,27,['THEMBA'],['64tzIMKX4Npx37YLcNZZNC'],05MNVsLCZysydF6aRNrSS5,0.000665,0.648,0.767,0.808,0.244,-9.695,0.0413,119.996,0.214,THEMBA,,,,,,
248,Obsidian,05MNVsLCZysydF6aRNrSS5,601760,14,['Innellea'],['71rqI5HtraA3qXBwatyG6e'],3f96feDOgEGsK10nT1ntD0,0.00201,0.688,0.877,0.941,0.112,-7.478,0.0705,126.005,0.136,Innellea,,,,,,
249,Departure,3f96feDOgEGsK10nT1ntD0,475392,4,['Loco & Jam'],['5RwXcpTt7Fr8S8yG3Tbr9b'],3vd9JBCNKqt5qbMVPOZDyC,0.00226,0.777,0.891,0.925,0.138,-9.839,0.0475,127.003,0.129,Loco & Jam,,,,,,
250,Zoe - Sam Paganini Back To Black Remix,3vd9JBCNKqt5qbMVPOZDyC,495724,9,['Paganini Traxx'],['10Pn3OEFiyHSn2UBHELBSX'],4nvHVD7ydYxRcTt4zTX5hg,0.00353,0.706,0.529,0.924,0.0863,-13.008,0.053,122.997,0.34,Paganini Traxx,,,,,,
251,Mistral - Stephan Bodzin Remix,4nvHVD7ydYxRcTt4zTX5hg,547258,27,['Rodriguez Jr.'],['6Th7POyVfZgiHJQ64ddV5Y'],65ZGTJhA1RNgNI8HS8EKP7,0.0168,0.809,0.67,0.873,0.0664,-10.078,0.0526,118.006,0.472,Rodriguez Jr.,,,,,,
252,Nazca - Original Mix,65ZGTJhA1RNgNI8HS8EKP7,442147,17,['Jonas Rathsman'],['0evBopfnhhbHzmHebWTDx7'],5tJLmsWpbgDE80uAs7YgGj,0.00239,0.789,0.773,0.954,0.0603,-11.32,0.0585,119.937,0.315,Jonas Rathsman,,,,,,
253,In Your Eyes,5tJLmsWpbgDE80uAs7YgGj,581586,39,['&ME'],['5mIowAJMp7RKNheelruV5z'],5U17ni1t5HZsBynUakYpOJ,9.43e-05,0.588,0.791,0.892,0.111,-12.86,0.0548,123.996,0.152,&ME,,,,,,
254,Song for Bourdain,5U17ni1t5HZsBynUakYpOJ,437471,23,['Moscoman'],['44F8g3iM4NgU5cisocTlTQ'],12wa4DWJXbaBcaXhEIoi37,0.167,0.799,0.676,0.874,0.0767,-13.297,0.0726,121.996,0.141,Moscoman,,,,,,
255,Chasing The Dream,12wa4DWJXbaBcaXhEIoi37,358346,27,['Woo York'],['3F4cmqlG4wCV3aEZlHHO8p'],4CrDai0clHlKcgizJJThV6,0.0355,0.748,0.524,0.188,0.131,-10.287,0.0365,122.056,0.21,Woo York,,,,,,
256,Empty Floor,4CrDai0clHlKcgizJJThV6,218754,47,['Jan Blomqvist'],['5wMlMjOLeJfS5DfxqGfm83'],7E0hnklrmh6LjMIJ3Y2g6M,0.000668,0.768,0.9,0.913,0.0667,-10.035,0.0482,126.01,0.122,Jan Blomqvist,,,,,,
257,Itajai,7E0hnklrmh6LjMIJ3Y2g6M,403809,31,['Matador'],['1UcYY5JDPe05nqjODiVkx1'],4RKEv4DRfKsxK2S0FLzcf9,7.89e-05,0.752,0.653,0.797,0.351,-10.654,0.0583,125.0,0.425,Matador,,,,,,
258,Dum Dum,4RKEv4DRfKsxK2S0FLzcf9,445885,18,['Patrice Bäumel'],['5OvpF1A65DXs93M9NfPIjT'],2hfT3hbuX3BmL9p8bp5MHv,0.0454,0.94,0.471,0.906,0.108,-9.671,0.0515,124.01,0.426,Patrice Bäumel,,,,,,
259,Reaktor,2hfT3hbuX3BmL9p8bp5MHv,403644,43,['ELAX'],['0VBm458mfpph0JHb6XWIxk'],5dhh8EbX19jJQ4X80ThrDA,0.00307,0.806,0.814,0.859,0.105,-8.407,0.0449,121.014,0.0856,ELAX,,,,,,
260,Mireky,5dhh8EbX19jJQ4X80ThrDA,464256,8,['Matchy'],['5BF9eGIdwa9gt4RAXP8w1n'],1zt89RwMwjJMlAnqwpPlvX,0.000291,0.636,0.77,0.847,0.0864,-10.6,0.0402,123.011,0.116,Matchy,,,,,,
261,Around Your Space,1zt89RwMwjJMlAnqwpPlvX,438554,25,['Giorgia Angiuli'],['4iHnLagnnmgiIwMSm1wuTq'],5lTHpRkQtd6L7JMYStC7DB,0.000937,0.788,0.624,0.831,0.134,-13.042,0.0381,123.02,0.342,Giorgia Angiuli,,,,,,
262,Lotus,5lTHpRkQtd6L7JMYStC7DB,432116,29,['Fideles'],['39RaU9BN81x3KBo299bwXs'],7IGXsh0VFxhJLQxVLhB4RK,0.00302,0.806,0.876,0.889,0.0848,-11.888,0.041,126.009,0.139,Fideles,,,,,,
263,Rejekt,7IGXsh0VFxhJLQxVLhB4RK,626943,14,['Dubfire'],['3bVYqr2NfmwmL4YJisWhJI'],0qEsNQefVAHZ1ASyckn8yh,0.000298,0.774,0.681,0.785,0.0769,-9.813,0.0525,118.016,0.16,Dubfire,,,,,,
264,Underwater - Adam Port Remix,0qEsNQefVAHZ1ASyckn8yh,399397,43,"['RÜFÜS DU SOL', 'Adam Port']","['5Pb27ujIyYb33zBqVysBkj', '2loEsOijJ6XiGzWYFXMIRk']",2gkudYDDVwdmSjNVp0okOM,0.000297,0.807,0.569,0.886,0.0782,-9.509,0.102,125.004,0.519,RÜFÜS DU SOL,Adam Port,,,,,
265,Night Owl,2gkudYDDVwdmSjNVp0okOM,524159,45,['Boris Brejcha'],['6caPJFLv1wesmM7gwK1ACy'],4xurspSIMlFTn3RM5XKyGb,0.0271,0.689,0.696,0.756,0.153,-9.372,0.0492,123.008,0.0773,Boris Brejcha,,,,,,
266,Naradir - Original Mix,4xurspSIMlFTn3RM5XKyGb,490615,3,"['Saive', 'Kleiber']","['66sSc9LMhJkUdiEu7LTytJ', '0pUIfTg8Yri3rNrQgIk3mp']",2h4MP76GIhM2f1xR89l0G0,0.000664,0.763,0.709,0.896,0.0525,-8.881,0.0658,124.003,0.139,Saive,Kleiber,,,,,
267,Pacer,2h4MP76GIhM2f1xR89l0G0,416474,18,['Carl Bee'],['1BjovuKg3qRbCNNy5W9Efv'],2qVHH2sg1VqKh5takRHyn1,0.0186,0.806,0.615,0.953,0.11,-16.96,0.0671,127.987,0.212,Carl Bee,,,,,,
268,I Ran The Zoo - Analog Version,2qVHH2sg1VqKh5takRHyn1,369000,8,['Joris Voorn'],['4jGpKAmwvU263l0tUh4xKU'],7qpZyGdcjLVYgqeXIunf0F,5.64e-05,0.599,0.952,0.919,0.132,-5.898,0.0533,126.988,0.444,Joris Voorn,,,,,,
269,History,7qpZyGdcjLVYgqeXIunf0F,495118,10,['OC & Verde'],['6wdPgZR2SnhEJ6DJ8L37lc'],01h53Uz7dsol7NfZP9ys7o,0.0278,0.753,0.455,0.893,0.0956,-18.158,0.0575,131.016,0.0903,OC & Verde,,,,,,
270,Sirius,01h53Uz7dsol7NfZP9ys7o,372411,19,['Efdemin'],['6hjRjVNLWTCPYci9nxhI1G'],75CU1CyiRj9KHywLxPXPdE,0.828,0.592,0.869,0.949,0.162,-8.544,0.032,140.988,0.195,Efdemin,,,,,,
271,TT,75CU1CyiRj9KHywLxPXPdE,328579,19,['Koreless'],['3TsEEdpuuCN1G0dPxV4uOA'],2W3EgJst61RLZtPPm3EQim,0.286,0.563,0.44,0.683,0.269,-11.943,0.0822,120.009,0.213,Koreless,,,,,,
272,Territory,2W3EgJst61RLZtPPm3EQim,276373,46,['The Blaze'],['1Dt1UKLtrJIW1xxRBejjos'],7MKvKL7FMud9Um4Nylsc2H,0.193,0.578,0.665,0.883,0.119,-9.572,0.0314,128.002,0.238,The Blaze,,,,,,
273,After the Rain,7MKvKL7FMud9Um4Nylsc2H,360250,5,['Trevino'],['54QWzwwLTGc8ifV6tNfiRS'],64QIvWsUaPbtuTf2Ba5NT8,0.00295,0.795,0.675,0.898,0.105,-12.548,0.0482,123.989,0.184,Trevino,,,,,,
274,Beat Macho - Original Mix,64QIvWsUaPbtuTf2Ba5NT8,493928,7,['Benoit & Sergio'],['1Zwt7HXzjxAHMfrNhwUuSm'],476iNCuZzxV3AXQeRlF1qv,0.301,0.737,0.609,0.756,0.0919,-10.034,0.0584,124.006,0.176,Benoit & Sergio,,,,,,
275,Swallow - Tale Of Us Remix,476iNCuZzxV3AXQeRlF1qv,445151,49,"['Monolink', 'Tale Of Us']","['2I4hRNCYkPKJQlkoEZKjYx', '1UL813H5aj3e8ekE5RqWqc']",0BIO11Mvmp7vIhA6eArm9W,0.00553,0.8,0.747,0.838,0.106,-7.5,0.0375,122.019,0.529,Monolink,Tale Of Us,,,,,
276,Augustin,0BIO11Mvmp7vIhA6eArm9W,362359,2,['Darlyn Vlys'],['0dpGnP2FznqTc0Ql0E8t2P'],6u0A0WjtFsLAyNSyYjaPjK,0.00732,0.609,0.629,0.935,0.103,-8.702,0.0334,124.018,0.0459,Darlyn Vlys,,,,,,
277,Days Gone,6u0A0WjtFsLAyNSyYjaPjK,381831,36,['Mind Against'],['48LWLoeY0dhwaiX1FRsn72'],1MR1fnNJkNvnOY6rrs5XMd,0.0249,0.709,0.676,0.92,0.0953,-11.69,0.0493,126.01,0.505,Mind Against,,,,,,
278,Neutrino,1MR1fnNJkNvnOY6rrs5XMd,427706,23,['Kink'],['6yCdWsTDt4Dmb5GMZd5QLb'],7tSCXqS0evaolLl3jIuodQ,0.0126,0.797,0.702,0.936,0.133,-13.635,0.0706,119.995,0.206,Kink,,,,,,
279,The Border,7tSCXqS0evaolLl3jIuodQ,400806,24,['Fideles'],['39RaU9BN81x3KBo299bwXs'],2m2Si8RtoOGPfbIjDx9Ug7,0.00115,0.478,0.678,0.922,0.188,-14.416,0.034,123.015,0.0391,Fideles,,,,,,
280,Left Eye Left,2m2Si8RtoOGPfbIjDx9Ug7,320370,43,['Kölsch'],['2D9Oe8R9UhbMvFAsMJpXj0'],2FpNAzNlcq1sgwPg1dX6Hj,0.000826,0.8,0.917,0.929,0.109,-10.022,0.0475,123.011,0.0648,Kölsch,,,,,,
281,Serpent,2FpNAzNlcq1sgwPg1dX6Hj,470343,29,['Patrice Bäumel'],['5OvpF1A65DXs93M9NfPIjT'],09wQ63NTf2X7ZDqwVA2wew,0.0921,0.868,0.641,0.523,0.0926,-8.418,0.0369,125.013,0.0825,Patrice Bäumel,,,,,,
282,Ghetto Kraviz - Regal 303 Remix,09wQ63NTf2X7ZDqwVA2wew,378949,21,['Nina Kraviz'],['1oZmFNkGAT93yD1xX4vTRE'],5JlKsfWzVrskmoDZNE3roW,0.0115,0.851,0.496,0.735,0.608,-8.778,0.0743,124.972,0.0371,Nina Kraviz,,,,,,
283,Dogma 2,5JlKsfWzVrskmoDZNE3roW,449611,21,"['Kölsch', 'Michael Mayer']","['2D9Oe8R9UhbMvFAsMJpXj0', '5R9d1YP5jtBw2IrQItGzQI']",4V2MFd8M6NAB6Ri8snZVPK,2.7e-05,0.794,0.889,0.902,0.0893,-11.413,0.0667,130.014,0.118,Kölsch,Michael Mayer,,,,,
284,Point God,4V2MFd8M6NAB6Ri8snZVPK,339000,12,['Anthony Parasole'],['66bQLQsTSlK34m12wjyneM'],04XreyYjcyIKr6Z4e6e2tb,0.000419,0.724,0.899,0.689,0.131,-7.551,0.0459,122.969,0.142,Anthony Parasole,,,,,,
285,Electric Feel,04XreyYjcyIKr6Z4e6e2tb,241951,51,['PAX'],['3NYySx3H1V7zHemD9hmsQv'],33t1cV1hvGJeRptOCeFDDX,0.0251,0.82,0.411,0.924,0.0928,-12.523,0.159,120.001,0.425,PAX,,,,,,
286,Revenge of the Whales,33t1cV1hvGJeRptOCeFDDX,512165,17,['Avidus'],['6v1l56EZ8Wl7gpZhfihaKQ'],2Y7XqnWmu6v1rXEXBdyXFb,0.000413,0.804,0.784,0.838,0.146,-11.452,0.0442,124.997,0.0552,Avidus,,,,,,
287,Oxy,2Y7XqnWmu6v1rXEXBdyXFb,632807,8,['Monkey Safari'],['5zovXI5By2gUhdr7EByjLa'],7nionv2ijjqUlg9m5iWPTc,0.001,0.789,0.692,0.861,0.0505,-5.966,0.0475,121.998,0.774,Monkey Safari,,,,,,
288,Feel My Needs,7nionv2ijjqUlg9m5iWPTc,208524,66,['Weiss (UK)'],['0FBRY66KVaAiddGVefikLB'],6Z0frLAFyaRSjigTQEegOB,0.0172,0.736,0.568,0.89,0.0834,-11.674,0.0442,118.997,0.181,Weiss (UK),,,,,,
289,Nordkapp,6Z0frLAFyaRSjigTQEegOB,486156,35,['Einmusik'],['1LXTXZjheh25pXMEUT9iC1'],7HKEMNKVezATE2L3hjqTO4,0.0043,0.407,0.881,0.872,0.187,-8.046,0.0773,122.84,0.329,Einmusik,,,,,,
290,Featherlight (Johannes Brecht Remix),7HKEMNKVezATE2L3hjqTO4,369615,10,['GusGus'],['5sL9uDMwceYHPknnCLAAwJ'],6FpqRp29HleMaDhCVpGFg8,0.000763,0.811,0.839,0.879,0.0738,-8.466,0.0952,126.011,0.777,GusGus,,,,,,
291,Like a Wirsing,6FpqRp29HleMaDhCVpGFg8,491132,13,['Andhim'],['6XJeFzmI6vrWyHcdB7EImP'],1h4uOig53vimqvFYjnghSc,0.00239,0.741,0.686,0.847,0.0782,-9.631,0.0678,124.988,0.519,Andhim,,,,,,
292,The Solution,1h4uOig53vimqvFYjnghSc,503040,24,['Rob Hes'],['3x7ReRfnt4LPXsEYxgsbgu'],05p8Fo1juSv7ZVV4tr0Boh,0.000102,0.737,0.831,0.927,0.104,-8.934,0.0465,117.991,0.0481,Rob Hes,,,,,,
