,song,song_id,duration,popularity,artist,artist_id,song_id_f,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,0,1,2,3,4,5,6
659,Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,245040,77,"['David Guetta', 'Sia']","['1Cs0zKBU1kc0i8ypK3B9ai', '5WUlDfRSoLAfcVSX1WnrxN']",38rMZCtAPuRgOuV3pyFDmF,0.0052,0.797,0.948,0.752,0.0695,-7.941,0.0523,125.934,0.0451,David Guetta,Sia,,,,,
660,Moon Song,5BiXwMsbyjl2qO0UXbL96Q,328124,19,['The M Machine'],['62rW7FjQy7clhBDHuumg22'],46a59ZT7JG0i3tJNaQmPom,0.0517,0.647,0.756,0.00325,0.179,-7.594,0.381,74.979,0.533,The M Machine,,,,,,
661,Television Rules The Nation / Crescendolls,1E8S3CSv20KrKT0C1yAjkO,290840,49,['Daft Punk'],['4tZwfgrHOc3mvqYlEYSvVi'],5b93ExHMimxq1QtCC0BZMg,0.491,0.201,0.668,0.0,0.0848,-4.562,0.126,180.08,0.0535,Daft Punk,,,,,,
662,Can't Feel My Face,6RsWqX8zABZLhZydXxEFOm,213520,26,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],0vjYxBDAcflD0358arIVZG,0.000488,0.488,0.879,1.19e-06,0.14,-3.329,0.0393,86.986,0.557,The Weeknd,,,,,,
663,From Nowhere - Draper Remix,74DaUipyqqHC1zPbSJ47iN,219253,29,"['Dan Croll', 'Draper']","['5Rr15NSbi1Xjno1AEP9u21', '5Z8Qlj0jWh0OOmJ55EwSnu']",7w9bgPAmPTtrkt2v16QWvQ,0.00971,0.701,0.728,0.00115,0.361,-4.554,0.255,171.388,0.0591,Dan Croll,Draper,,,,,
664,Hydrogen,38rMZCtAPuRgOuV3pyFDmF,289523,51,['M|O|O|N'],['0M2HHtY3OOQzIZxrHkbJLT'],4ngU8WePfADkMAbERU2HCW,0.248,0.687,0.498,0.0715,0.089,-9.309,0.0455,124.047,0.0369,M|O|O|N,,,,,,
665,Ain't No Sunshine - Lido Remix,46a59ZT7JG0i3tJNaQmPom,186413,55,"['Bill Withers', 'Lido']","['1ThoqLcyIYvZn7iWbj8fsj', '1aSwrSGBNGMLn9ymttfRkk']",3gBRfsYMicK4kuwA9ehVd3,0.00178,0.699,0.842,0.0014,0.25,-6.623,0.0814,123.079,0.746,Bill Withers,Lido,,,,,
666,Shiner (feat. Ginger and the Ghost),5b93ExHMimxq1QtCC0BZMg,221074,32,['Indian Summer'],['6YwUsDilKZv99CGYmMYh0G'],5U8dy2VxCGMXCy5b9ZfzO4,0.00268,0.879,0.738,0.0,0.0514,-2.892,0.119,125.989,0.645,Indian Summer,,,,,,
667,Ten Tonne Skeleton,0vjYxBDAcflD0358arIVZG,187853,57,['Royal Blood'],['2S5hlvw4CMtMGswFtfdK15'],2VFeemadeo0qFMq24UlUGN,0.051,0.855,0.706,0.778,0.0422,-3.819,0.0615,120.023,0.368,Royal Blood,,,,,,
668,"Lose Yourself - From ""8 Mile"" Soundtrack",7w9bgPAmPTtrkt2v16QWvQ,326466,66,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],5HI8h783ZCmg2S4mvtGgnk,0.0159,0.42,0.884,0.0,0.345,-5.144,0.21,174.71,0.484,Eminem,,,,,,
669,Co Jest ze Mną Nie Tak,4ngU8WePfADkMAbERU2HCW,212903,40,"['Pezet', 'Czarny HIFI']","['4z93wkjfGntA0XFqnv4wj7', '5OOod2arCuD618edu5MXCb']",49rLVVt3RIOIMMzjWLYuMf,0.141,0.727,0.791,0.848,0.0805,-9.005,0.0451,112.007,0.527,Pezet,Czarny HIFI,,,,,
670,Three Second Memory,3gBRfsYMicK4kuwA9ehVd3,212813,35,['GoldFish'],['0uRdK8gy7fXJGRywrlmPM7'],6xheLSuxjX4BdJ6gVpOTmB,0.43,0.518,0.749,0.0,0.23,-7.134,0.115,82.221,0.175,GoldFish,,,,,,
671,Gentleman,5U8dy2VxCGMXCy5b9ZfzO4,194546,3,['PSY'],['2dd5mrQZvg6SmahdgVKDzh'],1jH2IzZ7JnixFoGG6XSnpf,0.00516,0.604,0.931,0.0,0.271,-3.326,0.175,96.249,0.682,PSY,,,,,,
672,Don't Touch,2VFeemadeo0qFMq24UlUGN,230000,0,['Dan Farber'],['5a3WpRDlPqdJvQsH5nH3kS'],1i1fxkWeaMmKEB4T7zqbzK,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,159.803,0.422,Dan Farber,,,,,,
673,Good Times,5HI8h783ZCmg2S4mvtGgnk,225006,22,"['Ella Eyre', 'Sigma']","['66TrUkUZ3RM29dqeDQRgyA', '01pKrlgPJhm5dB4lneYAqS']",0f9zSHJuc2s6tYoB5LZgpi,0.0142,0.457,0.75,0.0171,0.357,-4.668,0.0469,160.013,0.372,Ella Eyre,Sigma,,,,,
674,What Kind Of Man - Nicolas Jaar Remix,49rLVVt3RIOIMMzjWLYuMf,741613,1,"['Florence + The Machine', 'Nicolas Jaar']","['1moxjboGR7GNWYIMWsRjgG', '5a0etAzO5V26gvlbmHzT9W']",5UObrIUAd9t8fYFxhN7W1g,0.000836,0.724,0.638,0.684,0.382,-8.636,0.0599,117.041,0.188,Florence + The Machine,Nicolas Jaar,,,,,
675,Intro feat. Stalley,6xheLSuxjX4BdJ6gVpOTmB,234146,33,"['Flume', 'Stalley']","['6nxWCVXbOlEVRexSbLsTer', '1wUmdemiR9Dxw8A2el365A']",45qZbgUBqtbjVyrT4DK8Z2,0.0117,0.724,0.916,0.73,0.166,-4.664,0.0519,99.143,0.963,Flume,Stalley,,,,,
676,Rollin' (Air Raid Vehicle),1jH2IzZ7JnixFoGG6XSnpf,213760,16,['Limp Bizkit'],['165ZgPlLkK7bf5bDoFc6Sb'],7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,0.661,Limp Bizkit,,,,,,
677,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,208373,81,"['The Chainsmokers', 'Daya']","['69GGBxA162lTqCwzJG5jLp', '6Dd3NScHWwnW6obMFbl1BH']",5YzaostcCu9Sgp5T7bFuX3,0.00393,0.63,0.554,0.829,0.145,-9.675,0.0256,127.013,0.119,The Chainsmokers,Daya,,,,,
678,Crystaleyes,0f9zSHJuc2s6tYoB5LZgpi,239431,38,['AViVA'],['50tDsT4wwq8FCMJNkn1D67'],03AwMsgLX9niGAk19Ezlek,0.38,0.751,0.879,0.00368,0.0311,-3.597,0.0442,119.978,0.666,AViVA,,,,,,
679,Schatner - Original Mix,5UObrIUAd9t8fYFxhN7W1g,209905,24,['Niteppl'],['5jQWZiaRwd5OXJ08MdyJ5D'],0Brf1s65f8eekORKK9gpe4,0.114,0.773,0.631,0.858,0.133,-6.771,0.0395,115.992,0.0808,Niteppl,,,,,,
680,Take Me There,45qZbgUBqtbjVyrT4DK8Z2,266364,33,['Poolside'],['5szdY7KaSi7epwyffrbV8c'],3eZpH6NHBDY99MFrVrdUfz,0.0489,0.808,0.659,0.41,0.104,-5.052,0.0522,122.002,0.378,Poolside,,,,,,
681,Closer,7BKLCZ1jbUBVqRi2FVlTVw,244960,85,"['The Chainsmokers', 'Halsey']","['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']",56lfiApDTYBslfBRpmghz6,0.233,0.596,0.538,4.08e-05,0.521,-7.048,0.128,106.043,0.359,The Chainsmokers,Halsey,,,,,
682,Juvenile,5YzaostcCu9Sgp5T7bFuX3,203693,57,['The Blaze'],['1Dt1UKLtrJIW1xxRBejjos'],4chgBnYTuTMTytBrNhO6IO,0.0793,0.837,0.58,0.00122,0.667,-9.367,0.108,126.973,0.74,The Blaze,,,,,,
683,Get Lost,03AwMsgLX9niGAk19Ezlek,196225,49,['Paul Damixie'],['0nkCaGdwKdFsufB3GbvCdk'],7vlJhagyQRJwu5tCGXHYUV,0.0276,0.743,0.528,1.79e-06,0.111,-8.0,0.0771,118.993,0.384,Paul Damixie,,,,,,
684,"Adieu, Pt. II",0Brf1s65f8eekORKK9gpe4,252413,55,['Tchami'],['1KpCi9BOfviCVhmpI4G2sY'],2gUPZ6zPxtm1PLe3OdAVTs,0.00108,0.735,0.66,0.815,0.305,-8.336,0.0402,122.965,0.489,Tchami,,,,,,
685,Day and Night,3eZpH6NHBDY99MFrVrdUfz,240065,55,['Lo Air'],['50QQNUIpoQtQSigqMpY6Cw'],0b5caAvirJ1SL1CFLSfhKx,0.142,0.694,0.825,0.000315,0.0684,-4.354,0.0604,122.973,0.517,Lo Air,,,,,,
686,Hands,56lfiApDTYBslfBRpmghz6,218000,50,"['Point Point', 'Denai Moore']","['5L67d6oZKOOmXcBcMMJdZZ', '4bS7w1U8P3Zuaa5jmj3mvN']",4MbrdTZFLCP2LLQEL42KIH,0.166,0.813,0.78,0.0,0.0884,-3.863,0.0434,109.971,0.54,Point Point,Denai Moore,,,,,
687,Fuck They,4chgBnYTuTMTytBrNhO6IO,184453,47,['Sofi Tukker'],['586uxXMyD5ObPuzjtrzO1Q'],5A7X4ZshuOGcnuR4OwD1QQ,0.0178,0.731,0.934,0.375,0.402,-6.962,0.0667,123.964,0.46,Sofi Tukker,,,,,,
688,Good To Go,7vlJhagyQRJwu5tCGXHYUV,261548,6,['Klangkarussell'],['041iTeoMIwXMlShuQPIVKo'],5KWxtm24eahVFAU4Acd5er,8.76e-05,0.648,0.832,5.18e-05,0.645,-6.343,0.0795,114.961,0.392,Klangkarussell,,,,,,
689,Feel Fine,2gUPZ6zPxtm1PLe3OdAVTs,216585,37,['Patrick Lite'],['7hp5hDp0WIQHip75gbNc8v'],6mziLQaghs4nJLdptQibPG,0.0132,0.891,0.636,0.00223,0.0902,-6.209,0.0755,124.967,0.384,Patrick Lite,,,,,,
690,Melody,0b5caAvirJ1SL1CFLSfhKx,178332,40,"['MOUNT', 'Bright Sparks']","['4DMDkM0xOw9eBeCpW60ycz', '1Dn88PoQjnQgLTOaokePFz']",5m2ZHgdFrlIskSSvrxPoYI,0.298,0.94,0.404,1.15e-05,0.0908,-7.792,0.0618,110.985,0.302,MOUNT,Bright Sparks,,,,,
691,Tied Up,4MbrdTZFLCP2LLQEL42KIH,196626,46,"['The Magician', 'Julian Perretta']","['4WUGQykLBGFfsl0Qjl6TDM', '2JLl6rSFWx9YuSPLcLhkAG']",1A9XSg6VV7GWWYI8ROAp1l,0.0102,0.711,0.653,0.0594,0.292,-9.498,0.0361,114.977,0.609,The Magician,Julian Perretta,,,,,
692,Ruff Like This,5A7X4ZshuOGcnuR4OwD1QQ,166370,4,"['Watermät', 'Pep & Rash']","['4a9sClW4YpYQE5jUMAWx5W', '2HmmA3GhP0xsbRUiDllJUn']",3Xp9VqusQqyWGLGSGWcBEC,0.0205,0.76,0.885,0.000942,0.0795,-4.107,0.0678,123.97,0.623,Watermät,Pep & Rash,,,,,
693,Got U (Ready or Not),5KWxtm24eahVFAU4Acd5er,192041,57,['Kokab'],['5cYckp5ERtacjimuQQ7GpL'],3VfGa6AlYyyTsfrFZAgHTU,0.0555,0.825,0.779,3.02e-05,0.0812,-5.461,0.0441,122.997,0.917,Kokab,,,,,,
694,Work!,6mziLQaghs4nJLdptQibPG,301479,39,"['Gigamesh', 'Kaleena Zanders']","['1Bo8Afb2Qbjs4x6kJHyjle', '0Sz2jslaxjcw2VM5zYh2jK']",3PaqbRfUAxp91XYS2PJHZ1,0.213,0.575,0.836,0.0642,0.106,-8.097,0.0735,119.909,0.247,Gigamesh,Kaleena Zanders,,,,,
695,About,5m2ZHgdFrlIskSSvrxPoYI,224864,42,['Beatrich'],['4R7ILGBgDWUiAT1kWNe90W'],3w7JcualE0nqlKjjxRQwoU,0.292,0.418,0.821,0.0,0.0778,-4.76,0.101,83.575,0.231,Beatrich,,,,,,
696,Empty Room - Sofi Tukker Remix,1A9XSg6VV7GWWYI8ROAp1l,151244,35,"['Big Wild', 'Yuna', 'Sofi Tukker']","['0PxzGnCYBpSuaI49OR94cA', '3kHVioJpVxlazAAKQ64pC1', '586uxXMyD5ObPuzjtrzO1Q']",1wPYycdkn40DUOdwft2O8n,0.00182,0.657,0.55,0.895,0.0416,-10.651,0.0342,124.998,0.153,Big Wild,Yuna,Sofi Tukker,,,,
697,In the Morning,3Xp9VqusQqyWGLGSGWcBEC,195493,52,['Jaded'],['6tCJN1fQNdFCEaOa8Da9Wf'],6nIzjOlcMmk7ITm7FVbLA5,0.0469,0.638,0.773,0.000172,0.313,-5.849,0.0795,119.984,0.353,Jaded,,,,,,
698,The Way You Are,3VfGa6AlYyyTsfrFZAgHTU,183327,2,"[""L'Tric""]",['4ZedOHbnyLaFvvMuY6uaOM'],0aaTrekfgJgLiH00lnPKm7,0.000211,0.64,0.667,0.899,0.0748,-10.19,0.0379,122.994,0.288,L'Tric,,,,,,
699,Run,3PaqbRfUAxp91XYS2PJHZ1,178120,42,"['Matt Nash', 'Delayers']","['0hxW1uZPEjt4wuu9wNDF2y', '2oZ9We4LkpN7I062fHkci3']",47pj8vLDKu2HqbF2bgzn3X,0.172,0.553,0.72,3.15e-05,0.364,-5.003,0.053,149.188,0.416,Matt Nash,Delayers,,,,,
